Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_PHYSICS.json -i ../LumiJSON/Cert_271036-284044_13TeV_23Sep2016ReReco_Collisions16_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 275375:5030 | 06/20/16 02:17:12 | 1323 | 1323 | 213.406614987  | 205.471795059 |
| 275376:5030 | 06/20/16 10:55:04 | 3095 | 3095 | 331.859491081  | 323.163897222 |
| 275657:5038 | 06/24/16 03:33:42 | 105  | 105  | 20.167306244   | 18.470903872  |
| 275658:5038 | 06/24/16 04:17:17 | 337  | 337  | 62.579841350   | 59.231597041  |
| 275659:5038 | 06/24/16 06:31:38 | 17   | 17   | 3.283208432    | 3.171269936   |
| 275757:5043 | 06/25/16 03:45:06 | 17   | 17   | 3.690579846    | 3.296875207   |
| 275758:5043 | 06/25/16 04:00:12 | 4    | 4    | 0.876404239    | 0.802889384   |
| 275759:5043 | 06/25/16 04:06:42 | 6    | 6    | 1.299517826    | 1.204144612   |
| 275761:5043 | 06/25/16 04:25:26 | 9    | 9    | 1.902426081    | 1.667386019   |
| 275767:5043 | 06/25/16 05:32:46 | 4    | 4    | 0.808111079    | 0.714021985   |
| 275772:5043 | 06/25/16 06:29:27 | 56   | 56   | 10.607872913   | 10.203603062  |
| 275773:5043 | 06/25/16 06:53:33 | 7    | 7    | 1.323620105    | 1.181464550   |
| 275774:5043 | 06/25/16 07:01:55 | 312  | 312  | 57.592110608   | 55.058509346  |
| 275776:5043 | 06/25/16 09:11:23 | 140  | 140  | 24.494056643   | 23.256087183  |
| 275777:5043 | 06/25/16 10:12:24 | 300  | 300  | 49.898140841   | 47.914974829  |
| 275778:5043 | 06/25/16 12:13:15 | 305  | 305  | 47.436821325   | 45.726821975  |
| 275781:5043 | 06/25/16 14:30:06 | 29   | 29   | 4.306684635    | 4.156221871   |
| 275782:5043 | 06/25/16 14:44:49 | 762  | 762  | 103.548495696  | 99.673166619  |
| 275832:5045 | 06/26/16 17:18:04 | 367  | 367  | 77.465190039   | 72.628755586  |
| 275833:5045 | 06/26/16 19:45:07 | 251  | 251  | 48.647976187   | 46.889395182  |
| 275834:5045 | 06/26/16 21:26:02 | 297  | 297  | 53.966999532   | 51.935909982  |
| 275835:5045 | 06/26/16 23:24:23 | 13   | 13   | 2.270924890    | 2.069230945   |
| 275836:5045 | 06/26/16 23:32:00 | 1293 | 1293 | 195.653899834  | 186.759678266 |
| 275837:5045 | 06/27/16 07:59:11 | 715  | 715  | 86.035795921   | 83.442435550  |
| 275841:5045 | 06/27/16 13:17:37 | 50   | 50   | 5.487040970    | 5.340389786   |
