Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_PHYSICS.json -i ../LumiJSON/Cert_294927-306462_13TeV_EOY2017ReReco_Collisions17_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 300117:6021 | 07/29/17 16:45:44 | 33   | 33   | 9.401160285    | 6.067242572   |
| 300122:6024 | 07/29/17 21:46:18 | 1244 | 1235 | 325.858046058  | 293.521143065 |
| 300123:6024 | 07/30/17 05:57:59 | 610  | 601  | 108.636559333  | 101.250159231 |
| 300155:6026 | 07/30/17 18:49:40 | 1195 | 1188 | 312.824174962  | 282.029812980 |
| 300156:6026 | 07/31/17 02:33:41 | 72   | 64   | 14.413887949   | 11.779516720  |
| 300157:6026 | 07/31/17 03:14:44 | 1099 | 1099 | 177.344826744  | 167.472881283 |
| 300226:6030 | 07/31/17 17:03:13 | 406  | 406  | 131.530199340  | 115.963156784 |
| 300233:6031 | 07/31/17 22:08:06 | 120  | 111  | 40.745497287   | 31.640188819  |
| 300234:6031 | 07/31/17 22:55:49 | 59   | 59   | 19.403192965   | 14.608521840  |
| 300235:6031 | 07/31/17 23:21:52 | 187  | 181  | 58.959165974   | 49.530363342  |
| 300236:6031 | 08/01/17 00:39:29 | 177  | 172  | 52.514455088   | 46.368318253  |
| 300237:6031 | 08/01/17 01:48:17 | 715  | 715  | 175.574770236  | 163.752967502 |
| 300238:6031 | 08/01/17 06:39:51 | 297  | 290  | 56.819803687   | 50.321406538  |
| 300239:6031 | 08/01/17 08:36:42 | 208  | 202  | 35.930426433   | 31.288622393  |
| 300240:6031 | 08/01/17 10:10:56 | 359  | 358  | 52.678650912   | 48.461926037  |
| 300280:6035 | 08/02/17 04:47:45 | 548  | 548  | 169.325220779  | 139.408265449 |
| 300281:6035 | 08/02/17 09:00:44 | 6    | 6    | 1.624420806    | 1.496696182   |
| 300282:6035 | 08/02/17 09:08:14 | 135  | 131  | 35.665736562   | 30.814192306  |
| 300283:6035 | 08/02/17 10:20:31 | 34   | 26   | 8.531741832    | 5.816356459   |
| 300284:6035 | 08/02/17 10:35:38 | 679  | 679  | 142.047559337  | 133.886088169 |
| 300364:6041 | 08/03/17 12:13:45 | 20   | 17   | 6.559345821    | 3.982632799   |
| 300365:6041 | 08/03/17 12:25:03 | 20   | 13   | 6.395195949    | 3.577724799   |
| 300366:6041 | 08/03/17 12:34:35 | 21   | 14   | 5.395095439    | 2.874508422   |
| 300367:6041 | 08/03/17 12:44:42 | 20   | 13   | 6.206097626    | 2.968303261   |
| 300368:6041 | 08/03/17 12:54:04 | 20   | 13   | 6.111327690    | 3.021625727   |
| 300369:6041 | 08/03/17 13:03:35 | 20   | 13   | 6.026828756    | 3.261603608   |
| 300370:6041 | 08/03/17 13:13:08 | 20   | 13   | 5.955679470    | 3.210961271   |
| 300371:6041 | 08/03/17 13:22:40 | 20   | 13   | 5.864388749    | 2.994590087   |
| 300372:6041 | 08/03/17 13:32:05 | 8    | 8    | 2.388738188    | 1.983118558   |
| 300373:6041 | 08/03/17 13:39:36 | 21   | 13   | 6.196418683    | 3.149679105   |
| 300374:6041 | 08/03/17 13:48:53 | 21   | 13   | 6.128275572    | 3.162388882   |
| 300375:6041 | 08/03/17 13:58:15 | 93   | 93   | 26.669505409   | 24.814757430  |
| 300389:6044 | 08/03/17 18:48:33 | 121  | 115  | 38.995325149   | 26.869048310  |
| 300390:6044 | 08/03/17 19:49:51 | 20   | 12   | 6.498444737    | 3.346845616   |
| 300391:6044 | 08/03/17 19:58:56 | 21   | 13   | 6.742727921    | 3.291604636   |
| 300392:6044 | 08/03/17 20:08:10 | 21   | 14   | 6.644391618    | 3.398127051   |
| 300393:6044 | 08/03/17 20:17:56 | 20   | 13   | 6.243426797    | 3.458399761   |
| 300394:6044 | 08/03/17 20:27:18 | 21   | 13   | 6.472802542    | 3.319687875   |
| 300395:6044 | 08/03/17 20:36:48 | 20   | 13   | 6.157822031    | 3.367512342   |
| 300396:6044 | 08/03/17 20:46:06 | 20   | 13   | 6.215303031    | 3.248488183   |
| 300397:6044 | 08/03/17 20:55:33 | 20   | 13   | 6.139535628    | 3.485863424   |
| 300398:6044 | 08/03/17 21:05:16 | 20   | 14   | 6.065523097    | 3.578642526   |
| 300399:6044 | 08/03/17 21:15:04 | 20   | 17   | 5.987772076    | 4.232691022   |
| 300400:6044 | 08/03/17 21:26:33 | 677  | 672  | 175.038939656  | 161.513768284 |
| 300401:6044 | 08/04/17 02:03:03 | 655  | 655  | 123.619782824  | 116.732915009 |
| 300459:6046 | 08/04/17 12:16:31 | 293  | 293  | 92.356936965   | 81.507467482  |
| 300461:6046 | 08/04/17 14:16:24 | 98   | 88   | 29.054294192   | 23.737911202  |
| 300462:6046 | 08/04/17 14:56:36 | 97   | 91   | 27.495538983   | 23.357553066  |
| 300463:6046 | 08/04/17 15:38:40 | 124  | 124  | 33.204678612   | 30.793470447  |
| 300464:6046 | 08/04/17 16:34:29 | 265  | 265  | 66.103234607   | 59.371361357  |
| 300466:6046 | 08/04/17 18:25:04 | 650  | 643  | 131.071352313  | 121.744279453 |
| 300467:6046 | 08/04/17 22:39:50 | 563  | 563  | 85.435587879   | 80.529050215  |
| 300497:6048 | 08/05/17 07:32:31 | 150  | 150  | 52.151071353   | 40.034684026  |
| 300514:6050 | 08/05/17 12:01:12 | 113  | 113  | 38.836190866   | 29.355551043  |
| 300515:6050 | 08/05/17 12:46:59 | 1013 | 1013 | 285.829261698  | 264.629744542 |
| 300516:6050 | 08/05/17 19:30:10 | 111  | 109  | 23.887486227   | 19.603000491  |
| 300517:6050 | 08/05/17 20:16:08 | 623  | 623  | 116.895265752  | 110.689863322 |
| 300558:6052 | 08/06/17 11:30:09 | 541  | 534  | 129.715573785  | 119.182106642 |
| 300560:6052 | 08/06/17 15:03:15 | 844  | 844  | 149.755135805  | 140.870780270 |
| 300574:6053 | 08/07/17 02:51:21 | 97   | 96   | 30.442179141   | 24.120095690  |
| 300575:6053 | 08/07/17 03:34:38 | 82   | 76   | 25.996101613   | 12.558142689  |
| 300576:6053 | 08/07/17 04:08:51 | 1200 | 1200 | 298.076566484  | 278.909402946 |
| 300631:6054 | 08/07/17 15:33:51 | 165  | 159  | 53.937521718   | 42.706842179  |
| 300632:6054 | 08/07/17 16:47:35 | 21   | 20   | 6.676964297    | 4.065109418   |
| 300633:6054 | 08/07/17 16:58:51 | 447  | 447  | 131.621477827  | 120.792955602 |
| 300635:6054 | 08/07/17 20:07:40 | 176  | 176  | 45.810437855   | 42.292535327  |
| 300636:6054 | 08/07/17 21:23:44 | 1572 | 1572 | 286.966515122  | 270.701846070 |
| 300673:6055 | 08/08/17 10:48:20 | 21   | 21   | 7.016566949    | 6.580777442   |
| 300674:6055 | 08/08/17 11:03:35 | 33   | 30   | 10.802454896   | 7.854279491   |
| 300675:6055 | 08/08/17 11:18:43 | 33   | 25   | 10.857920922   | 2.899314911   |
| 300676:6055 | 08/08/17 11:31:55 | 26   | 26   | 8.394781058    | 7.291861850   |
| 300742:6057 | 08/08/17 17:08:58 | 288  | 288  | 96.843404002   | 83.983676534  |
| 300777:6060 | 08/09/17 04:47:35 | 489  | 489  | 147.097646098  | 130.414848583 |
| 300780:6060 | 08/09/17 08:01:22 | 339  | 334  | 87.421838577   | 79.071791863  |
| 300785:6060 | 08/09/17 10:49:33 | 1271 | 1271 | 228.274313460  | 215.469634972 |
| 300806:6061 | 08/09/17 21:47:20 | 179  | 179  | 65.791936815   | 54.218345703  |
| 300811:6061 | 08/09/17 23:03:45 | 503  | 500  | 163.634006665  | 144.699407220 |
| 300812:6061 | 08/10/17 02:25:24 | 59   | 58   | 16.890067605   | 14.797894281  |
| 300816:6061 | 08/10/17 02:54:46 | 156  | 150  | 42.621184342   | 34.740265194  |
| 300817:6061 | 08/10/17 03:55:18 | 493  | 493  | 114.683621665  | 106.443759084 |
| 301046:6072 | 08/12/17 01:36:15 | 62   | 62   | 4.479813754    | 4.222223960   |
| 301086:6079 | 08/14/17 01:34:04 | 68   | 68   | 4.733547836    | 4.063046517   |
| 301141:6082 | 08/14/17 12:14:40 | 7    | 7    | 0.973564223    | 0.939303614   |
| 301142:6082 | 08/14/17 12:20:37 | 897  | 897  | 99.533520319   | 96.263888261  |
| 301161:6084 | 08/14/17 21:38:32 | 770  | 761  | 104.157166142  | 98.076751480  |
| 301165:6084 | 08/15/17 02:39:09 | 145  | 145  | 15.700995150   | 15.464523268  |
| 301179:6086 | 08/15/17 07:58:06 | 25   | 19   | 4.392047952    | 2.048254760   |
| 301180:6086 | 08/15/17 08:08:13 | 97   | 92   | 16.719281197   | 14.830087965  |
| 301183:6086 | 08/15/17 08:47:34 | 299  | 299  | 48.096786169   | 45.298745041  |
| 301281:6089 | 08/15/17 23:07:41 | 120  | 120  | 19.988318712   | 18.542081035  |
| 301283:6089 | 08/15/17 23:59:33 | 884  | 884  | 124.060361822  | 120.005148883 |
| 301298:6090 | 08/16/17 09:17:06 | 905  | 905  | 159.892975866  | 153.992529680 |
| 301323:6091 | 08/16/17 18:21:51 | 956  | 956  | 174.077513942  | 165.425405984 |
| 301330:6093 | 08/17/17 05:31:24 | 332  | 332  | 68.402210138   | 64.442939517  |
| 301359:6094 | 08/17/17 11:07:05 | 287  | 287  | 61.037998504   | 57.278251476  |
| 301383:6096 | 08/17/17 15:37:46 | 7    | 7    | 0.953143605    | 0.012725813   |
| 301384:6096 | 08/17/17 15:43:36 | 476  | 476  | 98.240901172   | 94.353980418  |
| 301391:6097 | 08/17/17 21:43:51 | 177  | 175  | 37.139877798   | 34.574486155  |
| 301392:6097 | 08/17/17 22:57:14 | 627  | 627  | 114.412856000  | 110.226142746 |
| 301393:6097 | 08/18/17 03:04:23 | 32   | 29   | 5.115656333    | 2.612070059   |
| 301396:6097 | 08/18/17 03:39:05 | 33   | 26   | 5.110709803    | 3.739860526   |
| 301397:6097 | 08/18/17 03:55:16 | 728  | 722  | 98.336918927   | 94.450454087  |
| 301398:6097 | 08/18/17 08:43:04 | 9    | 9    | 1.061311772    | 0.559291185   |
| 301399:6097 | 08/18/17 08:50:12 | 108  | 108  | 12.455934590   | 12.282389847  |
| 301417:6098 | 08/18/17 12:47:02 | 318  | 318  | 70.564432507   | 67.689348463  |
| 301447:6104 | 08/19/17 11:30:21 | 425  | 425  | 75.619711502   | 72.382566704  |
| 301448:6104 | 08/19/17 14:20:04 | 329  | 325  | 50.134526547   | 48.021203476  |
| 301449:6104 | 08/19/17 16:30:03 | 404  | 398  | 53.242812463   | 49.332904852  |
| 301450:6104 | 08/19/17 19:07:02 | 173  | 173  | 19.921164899   | 19.426093306  |
| 301461:6105 | 08/19/17 23:02:59 | 554  | 554  | 105.323013151  | 98.121789200  |
| 301472:6106 | 08/20/17 14:13:17 | 810  | 802  | 143.864835324  | 138.032841325 |
| 301475:6106 | 08/20/17 19:47:00 | 18   | 12   | 2.724264874    | 1.558198766   |
| 301476:6106 | 08/20/17 19:53:54 | 857  | 854  | 112.073085528  | 107.777845264 |
| 301480:6106 | 08/21/17 01:40:08 | 166  | 166  | 17.935685358   | 17.418750842  |
| 301519:6110 | 08/21/17 13:13:28 | 209  | 203  | 38.042273534   | 33.366887509  |
| 301524:6110 | 08/21/17 14:45:22 | 268  | 268  | 44.421301109   | 42.256577864  |
| 301525:6110 | 08/21/17 16:42:35 | 59   | 57   | 8.970992686    | 8.163531905   |
| 301528:6110 | 08/21/17 17:12:32 | 20   | 16   | 2.964113918    | 2.132594189   |
| 301529:6110 | 08/21/17 17:22:10 | 49   | 49   | 7.311108278    | 6.578466460   |
| 301530:6110 | 08/21/17 17:44:34 | 110  | 107  | 15.743076696   | 14.335108432  |
| 301531:6110 | 08/21/17 18:34:34 | 394  | 393  | 50.162330371   | 48.371775106  |
| 301532:6110 | 08/21/17 21:12:59 | 611  | 611  | 63.969619267   | 62.657288893  |
| 301567:6114 | 08/22/17 08:46:48 | 359  | 359  | 66.519188350   | 63.339394929  |
| 301627:6116 | 08/22/17 23:21:42 | 887  | 887  | 134.206965553  | 131.459419383 |
| 301664:6119 | 08/23/17 12:24:23 | 418  | 411  | 74.228172780   | 70.386121587  |
