Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_BRIL.json -i ../LumiJSON/Cert_314472-325175_13TeV_PromptReco_Collisions18_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 319449:6909 | 07/09/18 20:59:32 | 700  | 700  | 260.156854409  | 249.478653228 |
| 319450:6909 | 07/10/18 01:32:44 | 683  | 683  | 213.347208417  | 207.712456154 |
| 319456:6909 | 07/10/18 07:08:40 | 209  | 209  | 54.154342132   | 52.145901589  |
| 319459:6909 | 07/10/18 08:32:35 | 78   | 78   | 17.685857210   | 17.256049735  |
| 319486:6911 | 07/11/18 09:10:21 | 66   | 66   | 21.089558916   | 20.341257053  |
| 319503:6911 | 07/11/18 17:30:46 | 317  | 317  | 95.335318577   | 91.459689189  |
| 319524:6912 | 07/11/18 22:27:29 | 1424 | 1424 | 472.529750584  | 458.407023794 |
| 319526:6912 | 07/12/18 08:14:19 | 282  | 282  | 72.171382637   | 70.059158673  |
| 319528:6912 | 07/12/18 10:11:01 | 259  | 259  | 61.408073176   | 60.001645550  |
| 319579:6919 | 07/13/18 04:43:17 | 3128 | 3128 | 849.585942283  | 825.185090373 |
| 319625:6921 | 07/14/18 14:05:51 | 190  | 190  | 73.179381710   | 70.810056880  |
| 319639:6923 | 07/14/18 18:52:13 | 1479 | 1479 | 425.634293214  | 411.358583823 |
| 319656:6924 | 07/15/18 07:24:28 | 260  | 260  | 93.176464829   | 88.351960999  |
| 319657:6924 | 07/15/18 09:09:07 | 167  | 167  | 53.995944953   | 52.058423314  |
| 319658:6924 | 07/15/18 10:16:04 | 225  | 225  | 65.180808973   | 62.963860625  |
| 319659:6924 | 07/15/18 11:50:26 | 87   | 87   | 22.748713148   | 21.922941573  |
| 319678:6925 | 07/15/18 15:20:13 | 259  | 259  | 99.470555300   | 95.827771825  |
| 319687:6927 | 07/15/18 22:28:04 | 45   | 45   | 16.570475510   | 16.134363475  |
| 319697:6929 | 07/16/18 02:17:40 | 444  | 444  | 65.027631834   | 62.598799532  |
| 319698:6929 | 07/16/18 05:13:10 | 312  | 312  | 37.851583777   | 36.927782155  |
| 319756:6931 | 07/16/18 15:39:04 | 1923 | 1923 | 510.341033737  | 493.353954839 |
| 319840:6939 | 07/17/18 22:27:53 | 348  | 348  | 52.531412047   | 50.950283500  |
| 319841:6939 | 07/18/18 00:44:33 | 167  | 167  | 21.339402884   | 20.766462916  |
| 319847:6940 | 07/18/18 04:02:30 | 3    | 3    | 1.335324032    | 0.907075341   |
| 319848:6940 | 07/18/18 04:04:45 | 53   | 53   | 20.008611961   | 19.158138710  |
| 319849:6940 | 07/18/18 04:28:02 | 492  | 492  | 181.115111591  | 174.415852473 |
| 319851:6940 | 07/18/18 07:46:30 | 4    | 4    | 1.257632845    | 1.143793159   |
| 319853:6940 | 07/18/18 08:01:32 | 262  | 262  | 75.578213833   | 73.390988964  |
| 319854:6940 | 07/18/18 09:44:34 | 225  | 225  | 55.639345273   | 54.109396207  |
| 319908:6942 | 07/19/18 02:40:13 | 51   | 51   | 19.653957867   | 18.366077921  |
| 319909:6942 | 07/19/18 03:03:13 | 7    | 7    | 2.757009948    | 1.124979673   |
| 319910:6942 | 07/19/18 03:09:20 | 983  | 983  | 317.371059957  | 306.698557319 |
| 319912:6942 | 07/19/18 09:34:18 | 59   | 59   | 14.281428765   | 13.541757151  |
| 319913:6942 | 07/19/18 09:59:24 | 56   | 56   | 13.123027909   | 12.667012270  |
| 319914:6942 | 07/19/18 10:22:49 | 32   | 32   | 7.312157324    | 6.936436422   |
| 319915:6942 | 07/19/18 10:37:23 | 416  | 416  | 89.727086356   | 87.570507203  |
| 319941:6944 | 07/19/18 19:59:35 | 256  | 256  | 99.452060833   | 94.828250867  |
| 319942:6944 | 07/19/18 21:41:30 | 50   | 50   | 18.030396879   | 17.554168423  |
| 319950:6946 | 07/20/18 02:45:30 | 168  | 168  | 68.104869307   | 66.193464731  |
| 319991:6953 | 07/20/18 15:48:51 | 837  | 837  | 294.036297939  | 283.565025464 |
| 319992:6953 | 07/20/18 21:15:39 | 264  | 264  | 68.805497807   | 66.057684166  |
| 319993:6953 | 07/20/18 23:01:06 | 955  | 955  | 189.432126439  | 184.315452452 |
| 320002:6956 | 07/21/18 08:17:32 | 141  | 141  | 52.719132491   | 50.390585773  |
| 320006:6956 | 07/21/18 09:46:32 | 341  | 341  | 118.850920908  | 115.082816281 |
| 320010:6956 | 07/21/18 14:27:42 | 330  | 330  | 77.288521668   | 75.284917278  |
| 320011:6956 | 07/21/18 16:38:02 | 302  | 302  | 63.670755104   | 61.678110922  |
| 320012:6956 | 07/21/18 18:38:20 | 99   | 99   | 18.890626898   | 18.233191582  |
| 320023:6957 | 07/21/18 21:33:03 | 276  | 276  | 104.389853740  | 99.252461263  |
